AD704 低偏置电流,低功耗,低失调电压,精密四运算放大器
NJM2140 低电压双运算放大器
HA-2839 宽带,高速运算放大器
NJM2141 大电流,低电压双运算放大器
HA-2840 宽带,高速运算放大器
NJM2147 高耐压,低功耗双运算放大器
HA-2841 宽带,高速运算放大器
NJM2162 JFET输入,低功耗,高速双运算放大器
HA-2842 宽带,高速运算放大器
NJM2164 JFET输入,低功耗,高速四运算放大器
HA-4741 通用四运算放大器
NJM3404A 单电源,通用双运算放大器
HA-5020 电流反馈型,宽带,高速运算放大器
NJM3414 单电源,大电流双运算放大器
HA-5127 低噪音,低失调电压,精密运算放大器
NJM3415 单电源,大电流双运算放大器
HA-5134 低失调电压,精密四运算放大器
NJM3416 单电源,大电流双运算放大器
HA-5137 低噪音,低失调电压,高速,精密运算放大器
NJM4556A 大电流双运算放大器
HA-5142 单电源,低功耗双运算放大器
NJM4580 低噪音双运算放大器
HA-5144 单电源,低功耗四运算放大器
NJU7051 CMOS单电源,低功耗,低电压,低失调电压运算放大器
HA-5177 低失调电压,精密运算放大器
NJU7052 CMOS单电源,低功耗,低电压,低失调电压双运算放大器
HA-5221 低噪音,精密运算放大器
NJU7054 CMOS单电源,低功耗,低电压,低失调电压四运算放大器
HA-5222 低噪音,精密双运算放大器
NJU7061 CMOS单电源,低功耗,低电压,低失调电压运算放大器
HA-7712 BIMOS,单电源,低功耗,精密运算放大器
NJU7062 CMOS单电源,低功耗,低电压,低失调电压双运算放大器
HA-7713 BIMOS,单电源,低功耗,精密运算放大器
NJU7064 CMOS单电源,低功耗,低电压,低失调电压四运算放大器
HA16118 CMOS单电源,低电压,低功耗双运算放大器
NJU7071 CMOS单电源,低功耗,低电压,低失调电压运算放大器
HA16119 CMOS单电源,低电压,低功耗双运算放大器
NJU7072 CMOS单电源,低功耗,低电压,低失调电压双运算放大器
HFA1100 电流反馈型,宽带,高速运算放大器
NJU7074 CMOS单电源,低功耗,低电压,低失调电压四运算放大器
HFA1120 电流反馈型,宽带,高速运算放大器
OP-07 低漂移,精密运算放大器
HFA1205 电流反馈型,低功耗,宽带,高速双运算放大器
OP-113 BICMOS单电源,低噪音,低失调电压,精密运算放大器
HFA1245 电流反馈型,低功耗,宽带,高速双运算放大器
OP-150 COMS,单电源,低电压,低功耗
ICL7611 CMOS低电压,低功耗运算放大器
OP-160 电流反馈型,高速运算放大器
ICL7612 CMOS低电压,低功耗运算放大器
OP-162 单电源,低电压,低功耗,高速,精密运算放大器
ICL7621 CMOS低电压,低功耗双运算放大器
OP-177 低失调电压,精密运算放大器
ICL7641 CMOS低电压四运算放大器
OP-183 单电源,宽带运算放大器
ICL7642 CMOS低电压,低功耗四运算放大器
OP-184 单电源,低电压,高速,精密运算放大器
ICL7650S 稳压器
OP-191 单电源,低电压,低功耗运算放大器
LA6500 单电源，功率OP放大器
OP-193 单电源,低电压,低功耗,精密运算放大器
LA6501 单电源，功率OP放大器
OP-196 单电源,低电压,低功耗运算放大器
LA6510 2回路单电源功率OP放大器
OP-200 低功耗,低失调电压,精密双运算放大器"
LA6512 高压,功率OP放大器双运算放大器
OP-213 BICMOS单电源,低噪音,低失调电压,精密双运算放大器
LA6513 高压,功率OP放大器双运算放大器
OP-250 COMS,单电源,低电压,低功耗双运算放大器
LA6520 单电源,功率OP放大器三运算放大器
OP-260 电流反馈型,高速双运算放大器
LF356 JFET输入，高速运算放大器
OP-262 单电源,低电压,低功耗,高速,精密双运算放大器
LF356A JFET输入，高速运算放大器
OP-27 低噪音,低失调电压,精密运算放大器
LF411 JFET输入，高速运算放大器
OP-270 低噪声,低失调电压,精密双运算放大器
LF411A JFET输入，高速运算放大器
OP-271 精密双运算放大器
LF412 JFET输入，高速双运算放大器
OP-275 高速双运算放大器
LF412A JFET输入，高速双运算放大器
OP-279 单电源,大电流双运算放大器
LF441 低功耗，JFET输入运算放大器
OP-282 JFET输入,低功耗双运算放大器
LF441A 低功耗，JFET输入运算放大器
OP-283 单电源,宽带双运算放大器
LF442 低功耗，JFET输入双运算放大器
OP-284 单电源,低电压,高速,精密双运算放大器
LF442A 低功耗，JFET输入双运算放大器
OP-290 单电源,低功耗,精密双运算放大器
LF444 低功耗，JFET输入四运算放大器
OP-291 单电源,低电压,低功耗双运算放大器
LF444A 低功耗，JFET输入四运算放大器
OP-292 BICMOS单电源,通用双运算放大器
LM2902 单电源四运算放大器
OP-293 单电源,低电压,低功耗,精密双运算放大器
LM2904 单电源双运算放大器
OP-295 BICMOS低功耗,精密双运算放大器
LM324 单电源四运算放大器
OP-296 单电源,低电压,低功耗双运算放大器
LM358 单电源双运算放大器
OP-297 低电压,低功耗,低漂移,精密双运算放大器
LM4250 单程控、低功耗运算放大器
OP-37 低噪音,低失调电压,高速,精密运算放大器
LM607 低失调电压,精密运算放大器
OP-400 低功耗,低失调电压,精密四运算放大器
LM6118 宽带,高速双运算放大器
OP-413 BICMOS单电源,低噪音,低失调电压,精密四运算放大器
LM6132 单电源,低功耗,低电压,高速双运算放大器
OP-450 COMS,单电源,低电压,低功耗四运算放大器
LM6134 单电源,低功耗,低电压,高速四运算放大器
OP-462 单电源,低电压,低功耗,高速,精密四运算放大器
LM6142 低功耗,宽带,高速双运算放大器
OP-467 宽带,高速,精密四运算放大器
LM6144 低功耗,宽带,高速四运算放大器
OP-470 低噪音,精密四运算放大器
LM6152 单电源,低功耗,宽带,高速双运算放大器
OP-471 低噪音,高速四运算放大器
LM6154 单电源,低功耗,宽带,高速四运算放大器
OP-482 JFET输入,低功耗四运算放大器
LM6161 宽带,高速运算放大器
OP-484 单电源,低电压,高速,精密四运算放大器
LM6171 低功耗,宽带,高速运算放大器
OP-490 单电源,低电压,低功耗四运算放大器
LM6172 低功耗,宽带,高速双运算放大器
OP-491 单电源,低电压,低功耗四运算放大器
LM6181 电流反馈型,宽带,高速运算放大器
OP-492 BICMOS单电源,通用四运算放大器
LM6182 电流反馈型,宽带,高速双运算放大器
OP-493 单电源,低电压,低功耗,高精四运算放大器
LM6218 宽带,高速,双四运算放大器
OP-495 BICMOS,低功耗,精密四运算放大器
LM6261 宽带,高速运算放大器
OP-496 单电源,低电压,低功耗四运算放大器
LM627 低噪音,低失调电压,精密运算放大器
OP-497 低电压,低功耗,低漂移,精密四运算放大器
LM6317 低功耗,宽带,高速运算放大器
OP-77 低失调电压,精密运算放大器
LM6361 宽带,高速运算放大器
OP-80 CMOS单电源,低功耗,低偏置电流运算放大器
LM637 低噪音,低失调电压,精密运算放大器
OP-90 单电源,低功耗,低电压,精密运算放大器
LM7121 低功耗,宽带,高速运算放大器
OP-97 低功耗,低漂移,精密运算放大器
LM7131 单电源,低电压,宽带,高速运算放大器
OPA1013 单电源,精密双运算放大器
LM7171 宽带,高速运算放大器
OPA124 JFET输入,低噪音,精密运算放大器
LM7301 单电源,低功耗,低电压运算放大器
OPA129 JFET输入,精密,低偏置电流运算放大器
LM833 低噪音双运算放大器
OPA130 JFET输入,低功耗,精密运算放大器
LM837 低噪音四运算放大器
OPA131 JFET输入,通用运算放大器
LMC6001 CMOS单电源,低功耗,低偏置电流运算放大器
OPA132 JFET输入,低噪音,高速运算放大器
LMC6022 CMOS单电源,低功耗双运算放大器
OPA2107 JFET输入,精密双运算放大器
LMC6024 CMOS单电源,低功耗四运算放大器
OPA2111 JFET输入,低噪音,精密双运算放大器
LMC6032 CMOS单电源双运算放大器
OPA2130 JFET输入,低功耗,精密双运算放大器
LMC6034 CMOS单电源四运算放大器
OPA2131 JFET输入,通用双运算放大器
LMC6035 CMOS单电源,低功耗双运算放大器
OPA2132 JFET输入,低噪音,高速双运算放大器
LMC6036 CMOS单电源,低功耗四运算放大器
OPA2237 单电源,低功耗,低失调电压双运算放大器
LMC6041 CMOS单电源,低功耗运算放大器
OPA2336 COMS,单电源,低电压,低功耗,精密双运算放大器
LMC6042 CMOS单电源,低功耗双运算放大器
OPA237 单电源,低功耗,低失调电压运算放大器
LMC6044 CMOS单电源,低功耗四运算放大器
OPA2544 JFET输入,功率OP放大器高耐压双运算放大器
LMC6442 CMOS单电源,低功耗双运算放大器
OPA2604 JFET输入,低噪音,高速双运算放大器
LMC6462 CMOS单电源,低功耗双运算放大器
OPA2650 低功耗,宽带,高速双运算放大器
LMC6464 CMOS单电源,低功耗四运算放大器
OPA2658 电流反馈型,低功耗,宽带,高速双运算放大器
LMC6482 CMOS单电源,双运算放大器
OPA336 COMS单电源,低电压,低功耗,精密运算放大器
LMC6484 CMOS单电源,四运算放大器
OPA404 JFET输入,精密,高速四运算放大器
LMC6572 CMOS单电源,低功耗,低电压双运算放大器
OPA4130 JFET输入,低功耗,精密四运算放大器
LMC6574 CMOS单电源,低功耗,低电压四运算放大器
OPA4131 JFET输入,通用四运算放大器
LMC6582 CMOS单电源,低电压双运算放大器
OPA4132 JFET输入,低噪音,高速四运算放大器
LMC6584 CMOS单电源,低电压四运算放大器
OPA4237 单电源,低功耗,低失调电压四运算放大器
LMC660 CMOS单电源四运算放大器
OPA4336 COMS,单电源,低电压,低功耗,精密四运算放大器
LMC662 CMOS单电源双运算放大器
OPA4650 低功耗,宽带,高速四运算放大器
LMC7101 CMOS单电源,低功耗运算放大器
OPA544 JFET输入,功率OP放大器,高耐压运算放大器
LMC7111 CMOS单电源,低功耗运算放大器
OPA547 单电源,功率OP放大器，高耐压运算放大器
LP2902 单电源,低功耗四运算放大器
OPA548 单电源,功率OP放大器，高耐压运算放大器
LP324 单电源,低功耗四运算放大器
OPA603 电流反馈型,高速运算放大器
LPC660 CMOS单电源,低功耗,四运算放大器
OPA604 JFET输入,低噪音,高速运算放大器
LPC661 CMOS单电源,低功耗运算放大器
OPA606 JFET输入,宽带运算放大器
LPC662 CMOS单电源,低功耗双运算放大器
OPA620 宽带,精密运算放大器
LT1007 低噪音,低失调电压,精密运算放大器
OPA623A 电流反馈型,宽带,高速运算放大器
LT1013 单电源,精密双运算放大器
OPA627 高速,精密运算放大器
LT1014 单电源,精密四运算放大器
OPA628 低失真，低噪音,宽带,高速运算放大器
LT1028 低噪音,低失调电压,高速,精密运算放大器
OPA637 高速,精密运算放大器
LT1037 低噪声,低失调电压,高速,精密运算放大器
OPA640 低失真，低噪音,宽带,高速运算放大器
LT1057 JFET输入,高速,精密双运算放大器
OPA642 低失真，宽带,低噪音,高速运算放大器
LT1058 JFET输入,高速,精密四运算放大器
OPA644 低失真，电流反馈型,宽带,高速运算放大器
LT1077 单电源,低功耗,低失调电压,精密运算放大器
OPA646 低功耗,宽带,高速运算放大器
LT1078 单电源,低功耗,低失调电压,精密双运算放大器
OPA650 低功耗,宽带,高速运算放大器
LT1079 单电源,低功耗,低失调电压,精密四运算放大器
OPA658 电流反馈型,低功耗,宽带,高速运算放大器
LT1097 低功耗,低失调电压,精密运算放大器
OPA680 单电源,宽带,高速运算放大器
LT1112 低电压,低偏置电流,精密双运算放大器
OPA681 电流反馈型,单电源,宽带,高速运算放大器
LT1113 JFET输入,低噪音,精密双运算放大器
RC3403A 单电源四运算放大器
LT1114 低电压,低偏置电流,精密四运算放大器
RC4558 通用双运算放大器
LT1115 低失真，低失调电压,低噪音运算放大器
RC4559 通用双运算放大器
LT1124 低噪音,高速,低失调电压,精密双运算放大器
SA5512 通用双运算放大器
LT1125 低噪音,高速,低失调电压,精密四运算放大器
SE5230 单电源,低电压运算放大器
LT1128 低噪音,低失调电压,高速,精密运算放大器
SE5512 通用双运算放大器
LT1169 低噪音,低偏置电流,精密双运算放大器
SE5514 通用四运算放大器
LT1178 单电源,低功耗,低失调电压,精密双运算放大器
SE5532A 低噪音，高速双运算放大器
LT1179 单电源,低功耗,低失调电压,精密四运算放大器
SE5534A 低噪声单运算放大器
LT1206 电流反馈型,宽带,高速运算放大器
SSM-2135 BICMOS单电源,低电压双运算放大器
LT1218 单电源,低电压,低功耗,低失调电压,精密运算放大器
SSM-2275 BICMOS,单电源,大电流双运算放大器
LT1219 单电源,低电压,低功耗,低失调电压,精密运算放大器
SSM-2475 BICMOS,单电源,大电流四运算放大器
LT1223 电流反馈型运算放大器
TA7256P 功率OP放大器，双运算放大器
LT1227 电流反馈型,宽带,高速运算放大器
TA7272P 功率OP放大器，双运算放大器
LT1229 电流反馈型双运算放大器
TA75S01F 单电源,低电压,低功耗运算放大器
LT1230 电流反馈型四运算放大器
TA75S558F 宽带运算放大器
LT1252 电流反馈型,宽带,高速运算放大器
TA75W01F 单电源,低电压,低功耗双运算放大器
LT1253 电流反馈型,宽带,高速双运算放大器
TA75W558FU 宽带双运算放大器
LT1254 电流反馈型,宽带,高速四运算放大器
TC75S51F CMOS单电源,低电压,低功耗运算放大器
LT1352 低功耗,低失调电压,高速双运算放大器
TC75S54F CMOS单电源,低电压,低功耗运算放大器
LT1353 低功耗,低失调电压,高速四运算放大器
TC75S55F CMOS单电源,低电压,低功耗运算放大器
LT1354 低功耗,低失调电压,高速运算放大器
TC75W51FU CMOS单电源,低电压,低功耗双运算放大器
LT1355 低功耗,低失调电压,高速双运算放大器
TC75W54FU CMOS单电源,低电压,低功耗双运算放大器
LT1356 低功耗,低失调电压,高速四运算放大器
TC75W55FU CMOS单电源,低电压,低功耗双运算放大器
LT1366 单电源,精密双运算放大器
TC901 单电源,低功耗运算放大器
LT1367 单电源,精密四运算放大器
TC913 单电源,低功耗双运算放大器
LT1413 单电源,精密双运算放大器
TC914 单电源,低功耗,四运算放大器
LT1457 JFET输入,精密双运算放大器
TL031 JFET输入,低功耗,精密运算放大器
LT1490 单电源,低功耗双运算放大器
TL032 JFET输入,低功耗,精密双运算放大器
LT1491 单电源,低功耗四运算放大器
TL034 JFET输入,低功耗,精密四运算放大器
LT1495 单电源,低功耗,低电压,低偏置电流,精密双运算放大器
TL051 JFET输入,精密运算放大器
LT1496 单电源,低功耗,低电压,低偏置电流,精密四运算放大器
TL052 JFET输入,精密双运算放大器
LT1498 单电源,低电压,精密双运算放大器
TL054 JFET输入,精密四运算放大器
LT1499 单电源,低电压,精密四运算放大器
TL081 JFET输入,通用运算放大器
LTC1047 CMOS单电源,低功耗双运算放大器
TL082 JFET输入,通用双运算放大器
LTC1049 CMOS单电源,低功耗运算放大器
TL084 JFET输入,通用四运算放大器
LTC1051 CMOS,单电源双运算放大器
TLC1078 CMOS单电源,低功耗,精密双运算放大器
LTC1053 CMOS,单电源四运算放大器
TLC1079 CMOS单电源,低功耗,精密四运算放大器
LTC1150 CMOS,单电源,低功耗运算放大器
TLC2201 CMOS单电源,低噪音,精密运算放大器
LTC1151 CMOS,单电源,低功耗双运算放大器
TLC2202 CMOS单电源,低噪音,精密双运算放大器
LTC1152 CMOS,单电源,低电压运算放大器
TLC2252 CMOS单电源,低功耗双运算放大器
LTC1250 CMOS,单电源,低噪音运算放大器
TLC2254 CMOS单电源,低功耗四运算放大器
M5216 大电流双运算放大器
TLC251BC CMOS单电源,低电压运算放大器
M5220 低噪音,大电流,高压双运算放大器
TLC252BC CMOS单电源,低电压双运算放大器
M5223 单电源双运算放大器
TLC254BC CMOS单电源,低电压四运算放大器
M5224 单电源四运算放大器
TLC271BC CMOS单电源,精密运算放大器
M5228 大电流四运算放大器
TLC272BC CMOS单电源,精密双运算放大器
M5238 JFET输入,大电流,高速双运算放大器
TLC274BC CMOS单电源,精密四运算放大器
M5260 大电流双运算放大器
TLC4501 CMOS单电源,低失调电压,精密运算放大器
MAX400 低失调电压,精密运算放大器
TLC4502 CMOS单电源,,低失调电压,精密双运算放大器
MAX402 低电压,低功耗,高速运算放大器
TLE2021 单电源,低功耗,精密运算放大器
MAX403 低电压,低功耗,高速运算放大器
TLE2022 单电源,低功耗,精密双运算放大器
MAX406 CMOS单电源,低功耗运算放大器
TLE2024 单电源,低功耗,精密四运算放大器
MAX407 CMOS单电源,低功耗双运算放大器
TLE2061 JFET输入,低功耗运算放大器
MAX410 低电压,低噪音,低失调电压,精密运算放大器
TLE2062 JFET输入,低功耗双运算放大器
MAX4100 低功耗,宽带,高速运算放大器
TLE2064 JFET输入,低功耗四运算放大器
MAX4101 低功耗,宽带,高速运算放大器
TLE2141 高速,精密运算放大器
MAX4102 低功耗,宽带,高速运算放大器
TLV2211 CMOS单电源,低电压,低功耗运算放大器
MAX4103 低功耗,宽带,高速运算放大器
TLV2221 CMOS单电源,低电压,低功耗运算放大器
MAX4112 电流反馈型,低功耗,宽带,高速运算放大器
TLV2231 CMOS单电源,低电压,低功耗运算放大器
MAX412 低电压,低噪音,低失调电压,精密双运算放大器
TLV2252 CMOS单电源,低电压,低功耗双运算放大器
MAX4122 单电源,低电压,低功耗,宽带,精密运算放大器
TLV2254 CMOS单电源,低电压,低功耗四运算放大器
MAX4123 单电源,低电压,低功耗,宽带,精密运算放大器
TLV2262 CMOS单电源,低电压,低功耗双运算放大器
MAX4126 单电源,低电压,低功耗,宽带,精密双运算放大器
TLV2264 CMOS单电源,低电压,低功耗四运算放大器
MAX4128 单电源,低电压,低功耗,宽带,精密双运算放大器
TLV2322 CMOS单电源,低电压,低功耗双运算放大器
MAX4129 单电源,低电压,低功耗,宽带,精密四运算放大器
TLV2324 CMOS单电源,低电压,低功耗四运算放大器
MAX4130 单电源,低电压,低功耗,宽带,精密运算放大器
TLV2332 CMOS单电源,低电压,低功耗双运算放大器
MAX4131 单电源,低电压,低功耗,宽带,精密运算放大器
TLV2334 CMOS单电源,低电压,低功耗四运算放大器
MAX4132 单电源,低电压,低功耗,宽带,精密双运算放大器
TLV2341 CMOS单电源,低电压,低功耗运算放大器
MAX4133 单电源,低电压,低功耗,宽带,精密双运算放大器
TLV2342 CMOS单电源,低电压,低功耗双运算放大器
MAX4134 单电源,低电压,低功耗,宽带,精密四运算放大器
TLV2344 CMOS单电源,低电压,低功耗，高速四运算放大器
MAX414 低电压,低噪音,低失调电压,精密四运算放大器
TLV2361 低电压,高速运算放大器
MAX4162 单电源,低电压,低功耗运算放大器
TLV2362 低电压，低功耗,高速双运算放大器
MAX4163 单电源,低电压,低功耗双运算放大器
TLV2422 CMOS单电源,低电压,低功耗双运算放大器
MAX4164 单电源,低电压,低功耗四运算放大器
TLV2432 CMOS单电源,低电压,低功耗双运算放大器
MAX4165 单电源,低电压,大电流,低功耗,精密运算放大器
TLV2442 CMOS单电源,低电压,低功耗双运算放大器
MAX4167 单电源,低电压,大电流,低功耗,精密双运算放大器
TLV2711 CMOS单电源,低电压,低功耗运算放大器
MAX4169 单电源,低电压,大电流,低功耗,精密四运算放大器
TLV2721 CMOS单电源,低电压,低功耗运算放大器
MAX418 CMOS单电源,低功耗四运算放大器
TLV2731 CMOS单电源,低电压,低功耗运算放大器
MAX4223 电流反馈型,宽带,高速运算放大器
TS912 CMOS单电源,低电压,低功耗双运算放大器
MAX4225 电流反馈型,宽带,高速双运算放大器
TSH150 宽带,高速运算放大器
MAX425 CMOS单电源运算放大器
TSH151 BIMOS,单电源,宽带,高速运算放大器
MAX4250 单电源,低电压,低功耗,低噪音,精密运算放大器
UPC4557 通用双运算放大器
MAX4252 单电源,低电压,低功耗,低噪音,精密双运算放大器
UPC4570 低噪音双运算放大器
MAX4254 单电源,低电压,低功耗,低噪音,精密四运算放大器
UPC4572 单电源,低噪音双运算放大器
MAX430 CMOS单电源运算放大器
